Title,Tag,Number of Authors,Authors List,Year,Month,Day
Tennis Phenom Cooper Williams to Transfer to Duke,Men's Tennis,3,"['Praveen Kumar', 'Jo B. Lemann', 'Jack Silvers']",2024,6,17
Competing Equally at Last: 50 Years of the Harvard-Radcliffe Athletics Merger,Reunions,2,"['Thomas Harris', 'Isabel C. Smail']",2024,5,31
Dominance on the Ice: The 1999 Women’s Ice Hockey Team's Long Legacy,Reunions,1,['Jack Anderson'],2024,5,31
Heartbeat Heroes: Varsity Team Managers,Year in Sports,2,"['Callum J. Diak', 'Katharine Forst']",2024,5,24
"Brooms, Beaters, and Belief: The Harvard Horntails Fly to Glory in Quadball Championships",Sports Features,2,"['Jack Canavan', 'Amy Dong']",2024,5,23
‘We’re Gonna Have a Ton of Success Here’: Andrew Aurich Ready to Keep Harvard Football Rolling,Football,1,['Jack Silvers'],2024,5,23
Airborn Agility,Sports Features,1,['Courtesy of Chiddy Powers'],2024,5,23
Soccer Star Hannah Bebar Commits to Duke For Last Year of NCAA Eligibility,Women's Soccer,1,['Isabel C. Smail'],2024,5,23
Snatched the Snitch,Sports Features,1,['Courtesy of Matthew Brooks Images'],2024,5,23
Cooper's Compositions,Sports Features,1,['Courtesy of George Cooper'],2024,5,23
‘Boom’: Harvard Captures Second Straight Series Win Against Dartmouth,Baseball,2,"['Praveen Kumar', 'Jack Silvers']",2024,4,27
Women’s Lacrosse Loses 16-8 Against Rival No. 10 Yale,Women's Lacrosse,3,"['Hannah Bebar', 'Laura Connor', 'Isabel C. Smail']",2024,4,19
Harvard Claims First Ivy Series Win Against Princeton,Baseball,2,"['Praveen Kumar', 'Jack Silvers']",2024,4,19
Former Harvard Basketball Star McKenzie Forbes ’23 Selected in WNBA Draft,Women's Basketball,1,['Jack Silvers'],2024,4,16
"Harvard Loses to Boston College, Fails to Advance in Beanpot",Baseball,1,['Jack Silvers'],2024,4,6
Tennis Titans: Harvard Women Outplay UMass in Pre-Ivy Showdown,Women's Tennis,2,"['Emma S. de Jong', 'Indi Wagner']",2024,4,5
Three Crimson Wrestlers Compete at NCAA Championships in Kansas City,Wrestling,2,"['Sydney Farnham', 'Katharine Forst']",2024,4,3
