County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Autauga County,0.0,0.0,19913.0,235.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alabama/
Baldwin County,0.0,0.0,70521.0,731.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alabama/
Barbour County,0.0,0.0,7582.0,104.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alabama/
Bibb County,0.0,0.0,8149.0,111.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alabama/
Blount County,0.0,0.0,18872.0,261.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alabama/
Bullock County,0.0,0.0,3057.0,54.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alabama/
Butler County,0.0,0.0,6617.0,132.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alabama/
Calhoun County,0.0,0.0,41931.0,683.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alabama/
Chambers County,0.0,0.0,10935.0,172.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alabama/
Cherokee County,0.0,0.0,6803.0,89.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alabama/
Chilton County,0.0,0.0,13073.0,221.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alabama/
Choctaw County,0.0,0.0,2260.0,39.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alabama/
Clarke County,0.0,0.0,8630.0,107.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alabama/
Clay County,0.0,0.0,5223.0,94.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alabama/
Cleburne County,0.0,0.0,4460.0,73.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alabama/
Coffee County,0.0,0.0,17358.0,246.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alabama/
Colbert County,0.0,0.0,21616.0,279.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alabama/
Conecuh County,0.0,0.0,3654.0,76.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alabama/
Coosa County,0.0,0.0,3805.0,64.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alabama/
Covington County,0.0,0.0,11885.0,266.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alabama/
Crenshaw County,0.0,0.0,4766.0,111.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alabama/
Cullman County,0.0,0.0,31723.0,400.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alabama/
Dale County,0.0,0.0,16715.0,245.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alabama/
Dallas County,0.0,0.0,11099.0,260.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alabama/
DeKalb County,0.0,0.0,22664.0,347.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alabama/
Elmore County,0.0,0.0,30079.0,364.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alabama/
Escambia County,0.0,0.0,12549.0,181.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alabama/
Etowah County,0.0,0.0,34402.0,696.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alabama/
Fayette County,0.0,0.0,5949.0,100.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alabama/
