County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Aleutians East Borough,0.0,0.0,796.0,2.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alaska/
Aleutians West Census Area,0.0,0.0,1167.0,3.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alaska/
Anchorage Municipality,0.0,0.0,121391.0,619.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alaska/
Bethel Census Area,0.0,0.0,13359.0,48.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alaska/
Bristol Bay Borough,0.0,0.0,608.0,2.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alaska/
Denali Borough,0.0,0.0,477.0,1.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alaska/
Dillingham Census Area,0.0,0.0,2269.0,13.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alaska/
Fairbanks North Star Borough,0.0,0.0,32247.0,171.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alaska/
Haines Borough,0.0,0.0,791.0,2.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alaska/
Hoonah-Angoon Census Area,0.0,0.0,0.0,0.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alaska/
Juneau City and Borough,0.0,0.0,11389.0,28.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alaska/
Kenai Peninsula Borough,0.0,0.0,21340.0,125.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alaska/
Ketchikan Gateway Borough,0.0,0.0,5013.0,27.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alaska/
Kodiak Island Borough,0.0,0.0,5702.0,13.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alaska/
Kusilvak Census Area,0.0,0.0,1508.0,4.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alaska/
Lake and Peninsula Borough,0.0,0.0,121.0,0.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alaska/
Matanuska-Susitna Borough,0.0,0.0,40348.0,276.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alaska/
Nome Census Area,0.0,0.0,7672.0,7.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alaska/
North Slope Borough,0.0,0.0,4975.0,16.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alaska/
Northwest Arctic Borough,0.0,0.0,5871.0,22.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alaska/
Petersburg Borough,0.0,0.0,179.0,2.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alaska/
Prince of Wales-Hyder Census Area,0.0,0.0,251.0,4.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alaska/
Sitka City and Borough,0.0,0.0,3392.0,10.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alaska/
Skagway Municipality,0.0,0.0,30.0,0.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alaska/
Southeast Fairbanks Census Area,0.0,0.0,2316.0,21.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alaska/
Valdez-Cordova Census Area,0.0,0.0,2171.0,23.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alaska/
Wrangell City and Borough,0.0,0.0,71.0,0.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alaska/
Yakutat City and Borough,0.0,0.0,63.0,2.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alaska/
Yukon-Koyukuk Census Area,0.0,0.0,1802.0,16.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/alaska/
