County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Apache County,0.0,0.0,38277.0,608.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arizona/
Cochise County,0.0,0.0,39794.0,564.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arizona/
Coconino County,0.0,0.0,53996.0,472.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arizona/
Gila County,0.0,0.0,21779.0,379.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arizona/
Graham County,0.0,0.0,14277.0,176.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arizona/
Greenlee County,0.0,0.0,2810.0,32.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arizona/
La Paz County,0.0,0.0,6161.0,143.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arizona/
Maricopa County,0.0,0.0,1552756.0,17103.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arizona/
Mohave County,0.0,0.0,68398.0,1435.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arizona/
Navajo County,0.0,0.0,49652.0,902.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arizona/
Pima County,0.0,0.0,325955.0,3803.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arizona/
Pinal County,0.0,0.0,158952.0,1645.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arizona/
Santa Cruz County,0.0,0.0,20112.0,228.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arizona/
Yavapai County,0.0,0.0,61534.0,1195.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arizona/
Yuma County,0.0,0.0,72217.0,1167.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arizona/
