County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Arkansas County,0.0,0.0,7013.0,95.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arkansas/
Ashley County,0.0,0.0,6255.0,83.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arkansas/
Baxter County,0.0,0.0,10739.0,284.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arkansas/
Benton County,0.0,0.0,77493.0,1006.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arkansas/
Boone County,0.0,0.0,11304.0,204.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arkansas/
Bradley County,0.0,0.0,3597.0,57.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arkansas/
Calhoun County,0.0,0.0,1197.0,15.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arkansas/
Carroll County,0.0,0.0,7293.0,123.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arkansas/
Chicot County,0.0,0.0,3125.0,65.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arkansas/
Clark County,0.0,0.0,6426.0,92.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arkansas/
Clay County,0.0,0.0,5154.0,102.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arkansas/
Cleburne County,0.0,0.0,8065.0,148.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arkansas/
Cleveland County,0.0,0.0,2684.0,42.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arkansas/
Columbia County,0.0,0.0,6797.0,106.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arkansas/
Conway County,0.0,0.0,6618.0,84.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arkansas/
Craighead County,0.0,0.0,47435.0,388.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arkansas/
Crawford County,0.0,0.0,18667.0,295.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arkansas/
Crittenden County,0.0,0.0,16717.0,246.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arkansas/
Cross County,0.0,0.0,5761.0,106.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arkansas/
Dallas County,0.0,0.0,2070.0,41.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arkansas/
Desha County,0.0,0.0,3659.0,45.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arkansas/
Drew County,0.0,0.0,5645.0,84.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arkansas/
Faulkner County,0.0,0.0,43060.0,360.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arkansas/
Franklin County,0.0,0.0,4494.0,83.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arkansas/
Fulton County,0.0,0.0,3112.0,99.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arkansas/
Garland County,0.0,0.0,27112.0,583.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/arkansas/
