County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Alameda County,9.0,0.0,389331.0,2172.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Alpine County,0.0,0.0,139.0,0.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Amador County,0.1,0.0,10716.0,100.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Butte County,0.7,0.0,42213.0,503.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Calaveras County,0.1,0.0,9142.0,144.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Colusa County,0.0,0.0,4043.0,24.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Contra Costa County,8.0,0.0,279336.0,1604.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Del Norte County,0.0,0.0,8005.0,62.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
El Dorado County,0.1,0.0,35164.0,248.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Fresno County,4.0,0.0,299234.0,3031.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Glenn County,0.1,0.0,5877.0,56.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Humboldt County,0.7,0.0,23775.0,172.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Imperial County,0.3,0.0,72119.0,987.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Inyo County,0.0,0.0,4837.0,63.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Kern County,1.0,0.0,232982.0,2502.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Kings County,2.0,0.0,63548.0,487.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Lake County,0.6,0.0,13861.0,165.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Lassen County,0.1,0.0,10315.0,65.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Los Angeles County,14.0,0.0,3534088.0,36317.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Madera County,0.1,0.0,47006.0,377.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Marin County,2.0,0.0,42037.0,260.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Mariposa County,0.0,0.0,3403.0,32.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Mendocino County,0.6,0.0,17092.0,146.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Merced County,0.6,0.0,78697.0,904.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Modoc County,0.0,0.0,987.0,11.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Mono County,0.1,0.0,3355.0,8.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Monterey County,0.9,0.0,99107.0,817.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Napa County,0.6,0.0,35205.0,182.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Nevada County,0.3,0.0,20521.0,139.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Orange County,13.0,0.0,726307.0,8235.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Placer County,1.0,0.0,82823.0,687.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Plumas County,0.0,0.0,3872.0,15.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Riverside County,4.0,0.0,742131.0,6863.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Sacramento County,8.0,0.0,379292.0,3627.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
San Benito County,0.7,0.0,17905.0,117.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
San Bernardino County,5.0,0.0,717634.0,8144.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
San Diego County,8.0,0.0,991624.0,5900.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
San Francisco County,4.0,0.0,201828.0,1235.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
San Joaquin County,5.0,0.0,213760.0,2463.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
San Luis Obispo County,1.0,0.0,67347.0,586.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
San Mateo County,4.0,0.0,187553.0,747.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Santa Barbara County,2.0,0.0,113829.0,777.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Santa Clara County,12.0,0.0,488335.0,2844.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Santa Cruz County,0.6,0.0,69856.0,277.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
Shasta County,0.0,0.0,36824.0,612.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/california/
