County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Adams County,0.0,0.0,168289.0,1506.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Alamosa County,0.0,0.0,6080.0,69.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Arapahoe County,0.0,0.0,199619.0,1425.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Archuleta County,0.0,0.0,2948.0,16.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Baca County,0.0,0.0,1086.0,20.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Bent County,0.0,0.0,3032.0,51.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Boulder County,0.0,0.0,92576.0,478.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Broomfield County,0.0,0.0,18649.0,139.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Chaffee County,0.0,0.0,5729.0,58.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Cheyenne County,0.0,0.0,322.0,9.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Clear Creek County,0.0,0.0,1626.0,12.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Conejos County,0.0,0.0,2350.0,60.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Costilla County,0.0,0.0,720.0,18.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Crowley County,0.0,0.0,3564.0,33.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Custer County,0.0,0.0,667.0,21.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Delta County,0.0,0.0,7364.0,171.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Denver County,0.0,0.0,227898.0,1571.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Dolores County,0.0,0.0,367.0,8.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Douglas County,0.0,0.0,102146.0,527.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Eagle County,0.0,0.0,18984.0,41.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
El Paso County,0.0,0.0,240901.0,1959.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Elbert County,0.0,0.0,5894.0,47.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Fremont County,0.0,0.0,19107.0,217.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Garfield County,0.0,0.0,18199.0,110.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Gilpin County,0.0,0.0,986.0,4.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Grand County,0.0,0.0,4083.0,30.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Gunnison County,0.0,0.0,3432.0,14.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Hinsdale County,0.0,0.0,132.0,0.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Huerfano County,0.0,0.0,1804.0,42.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Jackson County,0.0,0.0,169.0,0.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Jefferson County,0.0,0.0,162971.0,1611.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Kiowa County,0.0,0.0,337.0,6.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Kit Carson County,0.0,0.0,1884.0,33.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
La Plata County,0.0,0.0,16080.0,108.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Lake County,0.0,0.0,1854.0,2.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Larimer County,0.0,0.0,111398.0,633.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Las Animas County,0.0,0.0,4511.0,55.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Lincoln County,0.0,0.0,2211.0,9.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Logan County,0.0,0.0,8698.0,122.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Mesa County,0.0,0.0,52710.0,658.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Mineral County,0.0,0.0,241.0,2.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Moffat County,0.0,0.0,3799.0,56.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Montezuma County,0.0,0.0,7843.0,98.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Montrose County,0.0,0.0,11406.0,191.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Morgan County,0.0,0.0,7099.0,154.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Otero County,0.0,0.0,5444.0,137.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Ouray County,0.0,0.0,892.0,6.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Park County,0.0,0.0,3536.0,24.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Phillips County,0.0,0.0,1137.0,21.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
Pitkin County,0.0,0.0,6693.0,7.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/colorado/
