County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Alachua County,0.0,0.0,90634.0,285.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
Baker County,0.0,0.0,10787.0,62.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
Bay County,0.0,0.0,55836.0,394.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
Bradford County,0.0,0.0,9324.0,58.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
Brevard County,0.0,0.0,177412.0,914.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
Broward County,0.0,0.0,781299.0,3079.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
Calhoun County,0.0,0.0,4953.0,45.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
Charlotte County,0.0,0.0,49778.0,437.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
Citrus County,0.0,0.0,39543.0,463.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
Clay County,0.0,0.0,67933.0,352.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
Collier County,0.0,0.0,106951.0,551.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
Columbia County,0.0,0.0,25945.0,170.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
DeSoto County,0.0,0.0,11470.0,97.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
Dixie County,0.0,0.0,4966.0,24.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
Duval County,0.0,0.0,320808.0,1483.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
Escambia County,0.0,0.0,95288.0,706.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
Flagler County,0.0,0.0,29239.0,114.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
Franklin County,0.0,0.0,3559.0,20.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
Gadsden County,0.0,0.0,17964.0,99.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
Gilchrist County,0.0,0.0,5703.0,44.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
Glades County,0.0,0.0,2329.0,19.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
Gulf County,0.0,0.0,5084.0,45.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
Hamilton County,0.0,0.0,4576.0,25.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
Hardee County,0.0,0.0,10518.0,45.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
Hendry County,0.0,0.0,13970.0,87.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
Hernando County,0.0,0.0,54546.0,482.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
Highlands County,0.0,0.0,31185.0,366.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
Hillsborough County,0.0,0.0,485408.0,1832.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
Holmes County,0.0,0.0,6359.0,49.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
Indian River County,0.0,0.0,43317.0,306.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
Jackson County,0.0,0.0,18303.0,158.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
Jefferson County,0.0,0.0,5024.0,28.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
Lafayette County,0.0,0.0,3164.0,26.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
Lake County,0.0,0.0,110303.0,663.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
Lee County,0.0,0.0,245264.0,1009.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
Leon County,0.0,0.0,114470.0,332.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
Levy County,0.0,0.0,12937.0,56.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/florida/
