County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Appling County,0.0,0.0,3846.0,135.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Atkinson County,0.0,0.0,1703.0,57.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Bacon County,0.0,0.0,2853.0,82.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Baker County,0.0,0.0,343.0,15.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Baldwin County,0.0,0.0,8467.0,262.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Banks County,0.0,0.0,3992.0,101.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Barrow County,0.0,0.0,23224.0,291.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Bartow County,0.0,0.0,26251.0,485.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Ben Hill County,0.0,0.0,2352.0,125.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Berrien County,0.0,0.0,2318.0,96.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Bibb County,0.0,0.0,33807.0,832.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Bleckley County,0.0,0.0,1624.0,110.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Brantley County,0.0,0.0,2750.0,115.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Brooks County,0.0,0.0,2183.0,99.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Bryan County,0.0,0.0,8028.0,111.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Bulloch County,0.0,0.0,11458.0,283.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Burke County,0.0,0.0,3249.0,124.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Butts County,0.0,0.0,5595.0,180.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Calhoun County,0.0,0.0,1114.0,25.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Camden County,0.0,0.0,10542.0,139.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Candler County,0.0,0.0,1493.0,110.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Carroll County,0.0,0.0,16803.0,500.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Catoosa County,0.0,0.0,14249.0,204.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Charlton County,0.0,0.0,2567.0,65.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Chatham County,0.0,0.0,64518.0,1032.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Chattahoochee County,0.0,0.0,6921.0,24.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Chattooga County,0.0,0.0,5950.0,152.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Cherokee County,0.0,0.0,54402.0,710.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Clarke County,0.0,0.0,30896.0,263.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Clay County,0.0,0.0,394.0,7.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Clayton County,0.0,0.0,70154.0,1088.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Clinch County,0.0,0.0,1575.0,46.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Cobb County,0.0,0.0,170357.0,2089.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Coffee County,0.0,0.0,8792.0,305.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Colquitt County,0.0,0.0,9166.0,277.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Columbia County,0.0,0.0,24330.0,437.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Cook County,0.0,0.0,2281.0,83.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Coweta County,0.0,0.0,27822.0,527.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Crawford County,0.0,0.0,1420.0,64.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Crisp County,0.0,0.0,2686.0,145.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Dade County,0.0,0.0,2990.0,44.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Dawson County,0.0,0.0,7438.0,108.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
DeKalb County,0.0,0.0,167662.0,1972.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Decatur County,0.0,0.0,6084.0,143.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Dodge County,0.0,0.0,2283.0,174.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Dooly County,0.0,0.0,1680.0,76.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Dougherty County,0.0,0.0,16288.0,569.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Douglas County,0.0,0.0,34887.0,461.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Early County,0.0,0.0,2296.0,65.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Echols County,0.0,0.0,507.0,12.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Effingham County,0.0,0.0,11883.0,217.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Elbert County,0.0,0.0,3008.0,120.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Emanuel County,0.0,0.0,3632.0,168.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Evans County,0.0,0.0,1674.0,70.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Fannin County,0.0,0.0,4654.0,180.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Fayette County,0.0,0.0,23119.0,384.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Floyd County,0.0,0.0,27015.0,570.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Forsyth County,0.0,0.0,53998.0,465.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Franklin County,0.0,0.0,5017.0,115.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Fulton County,0.0,0.0,235286.0,2658.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Gilmer County,0.0,0.0,5322.0,199.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Glascock County,0.0,0.0,304.0,31.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Glynn County,0.0,0.0,20463.0,441.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Gordon County,0.0,0.0,13741.0,303.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Grady County,0.0,0.0,4168.0,114.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Greene County,0.0,0.0,3859.0,91.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Gwinnett County,0.0,0.0,215610.0,2116.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Habersham County,0.0,0.0,9620.0,288.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Hall County,0.0,0.0,55852.0,929.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Hancock County,0.0,0.0,1635.0,91.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Haralson County,0.0,0.0,3902.0,186.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Harris County,0.0,0.0,5955.0,124.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Hart County,0.0,0.0,3714.0,111.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Heard County,0.0,0.0,1785.0,61.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Henry County,0.0,0.0,57241.0,757.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Houston County,0.0,0.0,29358.0,542.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Irwin County,0.0,0.0,1140.0,57.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Jackson County,0.0,0.0,21764.0,314.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Jasper County,0.0,0.0,2052.0,82.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Jeff Davis County,0.0,0.0,2429.0,77.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Jefferson County,0.0,0.0,2397.0,121.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Jenkins County,0.0,0.0,1151.0,69.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Johnson County,0.0,0.0,1668.0,86.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Jones County,0.0,0.0,4347.0,127.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Lamar County,0.0,0.0,3826.0,131.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Lanier County,0.0,0.0,1294.0,32.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Laurens County,0.0,0.0,9777.0,328.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Lee County,0.0,0.0,4310.0,113.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Liberty County,0.0,0.0,13746.0,166.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Lincoln County,0.0,0.0,938.0,40.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Long County,0.0,0.0,2783.0,36.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Lowndes County,0.0,0.0,18287.0,434.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Lumpkin County,0.0,0.0,8263.0,139.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Macon County,0.0,0.0,1420.0,54.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Madison County,0.0,0.0,6815.0,123.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Marion County,0.0,0.0,1083.0,57.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
McDuffie County,0.0,0.0,3306.0,114.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
McIntosh County,0.0,0.0,2250.0,39.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Meriwether County,0.0,0.0,4048.0,158.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Miller County,0.0,0.0,1486.0,31.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Mitchell County,0.0,0.0,3425.0,127.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Monroe County,0.0,0.0,4631.0,185.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Montgomery County,0.0,0.0,1590.0,56.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Morgan County,0.0,0.0,3579.0,75.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Murray County,0.0,0.0,10565.0,205.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Muscogee County,0.0,0.0,37706.0,925.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Newton County,0.0,0.0,23060.0,497.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Oconee County,0.0,0.0,8270.0,116.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Oglethorpe County,0.0,0.0,2800.0,65.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Paulding County,0.0,0.0,32164.0,476.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Peach County,0.0,0.0,4627.0,151.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Pickens County,0.0,0.0,6083.0,194.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Pierce County,0.0,0.0,2989.0,143.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Pike County,0.0,0.0,3112.0,108.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Polk County,0.0,0.0,10760.0,214.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Pulaski County,0.0,0.0,1438.0,84.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Putnam County,0.0,0.0,4341.0,114.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Quitman County,0.0,0.0,285.0,5.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Rabun County,0.0,0.0,3162.0,106.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Randolph County,0.0,0.0,939.0,50.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Richmond County,0.0,0.0,43059.0,971.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Rockdale County,0.0,0.0,19644.0,350.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Schley County,0.0,0.0,589.0,11.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Screven County,0.0,0.0,2065.0,76.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Seminole County,0.0,0.0,1916.0,39.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Spalding County,0.0,0.0,12163.0,450.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
Stephens County,0.0,0.0,6790.0,183.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/georgia/
