County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Ada County,0.0,0.3,161975.0,1158.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Adams County,0.0,0.0,828.0,17.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Bannock County,0.0,0.1,24709.0,283.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Bear Lake County,0.0,0.0,1170.0,19.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Benewah County,0.0,0.0,2861.0,47.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Bingham County,0.0,0.0,11327.0,177.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Blaine County,0.0,0.0,7377.0,34.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Boise County,0.0,0.0,1308.0,15.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Bonner County,0.0,0.1,10364.0,205.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Bonneville County,0.0,0.0,35943.0,310.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Boundary County,0.0,0.0,2441.0,70.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Butte County,0.0,0.0,555.0,12.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Camas County,0.0,0.0,184.0,2.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Canyon County,0.0,0.1,71326.0,744.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Caribou County,0.0,0.0,1670.0,35.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Cassia County,0.0,0.0,5648.0,61.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Clark County,0.0,0.0,118.0,1.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Clearwater County,0.0,0.0,2720.0,40.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Custer County,0.0,0.0,709.0,9.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Elmore County,0.0,0.0,9249.0,76.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Franklin County,0.0,0.0,2597.0,31.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Fremont County,0.0,0.0,2436.0,30.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Gem County,0.0,0.1,4308.0,88.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Gooding County,0.0,0.0,3954.0,60.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Idaho County,0.0,0.0,3627.0,58.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Jefferson County,0.0,0.0,6894.0,71.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Jerome County,0.0,0.1,7180.0,68.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Kootenai County,0.0,0.4,47644.0,686.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Latah County,0.0,0.4,7782.0,62.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Lemhi County,0.0,0.0,1823.0,28.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Lewis County,0.0,0.0,1422.0,32.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Lincoln County,0.0,0.0,1310.0,15.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Madison County,0.0,0.0,13846.0,59.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Minidoka County,0.0,0.0,4866.0,71.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Nez Perce County,0.0,0.0,10721.0,163.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Oneida County,0.0,0.0,968.0,13.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Owyhee County,0.0,0.0,2636.0,56.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Payette County,0.0,0.1,6865.0,95.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Power County,0.0,0.0,1677.0,20.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Shoshone County,0.0,0.0,3217.0,82.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Teton County,0.0,0.0,2946.0,9.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Twin Falls County,0.0,0.0,29101.0,319.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Valley County,0.0,0.0,3155.0,20.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
Washington County,0.0,0.0,2661.0,62.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/idaho/
