County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Adams County,0.0,0.0,26914.0,225.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Alexander County,0.0,0.0,1523.0,16.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Bond County,0.0,0.0,5144.0,31.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Boone County,0.0,0.0,17017.0,124.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Brown County,0.0,0.0,2787.0,17.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Bureau County,0.0,0.0,10000.0,130.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Calhoun County,0.0,0.0,1845.0,6.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Carroll County,0.0,0.0,4917.0,53.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Cass County,0.0,0.0,5425.0,37.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Champaign County,0.0,0.0,83083.0,305.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Christian County,0.0,0.0,12529.0,116.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Clark County,0.0,0.0,5715.0,54.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Clay County,0.0,0.0,5761.0,74.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Clinton County,0.0,0.0,13766.0,118.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Coles County,0.0,0.0,18430.0,185.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Cook County,0.0,0.0,737082.0,7342.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Crawford County,0.0,0.0,7579.0,48.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Cumberland County,0.0,0.0,3917.0,39.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
De Witt County,0.0,0.0,5069.0,41.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
DeKalb County,0.0,0.0,25481.0,207.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Douglas County,0.0,0.0,7706.0,59.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
DuPage County,0.0,0.0,233636.0,1805.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Edgar County,0.0,0.0,6334.0,60.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Edwards County,0.0,0.0,2081.0,29.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Effingham County,0.0,0.0,12544.0,146.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Fayette County,0.0,0.0,8446.0,101.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Ford County,0.0,0.0,5358.0,70.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Franklin County,0.0,0.0,15028.0,180.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Fulton County,0.0,0.0,12278.0,136.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Gallatin County,0.0,0.0,1802.0,20.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Greene County,0.0,0.0,4204.0,48.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Grundy County,0.0,0.0,15719.0,148.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Hamilton County,0.0,0.0,2604.0,32.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Hancock County,0.0,0.0,5174.0,51.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Hardin County,0.0,0.0,1402.0,20.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Henderson County,0.0,0.0,1482.0,19.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Henry County,0.0,0.0,15351.0,127.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Iroquois County,0.0,0.0,8600.0,129.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Jackson County,0.0,0.0,19515.0,136.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Jasper County,0.0,0.0,3147.0,32.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Jefferson County,0.0,0.0,13087.0,181.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Jersey County,0.0,0.0,7599.0,76.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Jo Daviess County,0.0,0.0,4985.0,45.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Johnson County,0.0,0.0,5441.0,42.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Kane County,0.0,0.0,159592.0,1184.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Kankakee County,0.0,0.0,35247.0,381.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Kendall County,0.0,0.0,40641.0,170.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Knox County,0.0,0.0,15630.0,234.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
LaSalle County,0.0,0.0,30531.0,449.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Lake County,0.0,0.0,201227.0,1499.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Lawrence County,0.0,0.0,6579.0,45.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Lee County,0.0,0.0,11023.0,89.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Livingston County,0.0,0.0,12724.0,142.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Logan County,0.0,0.0,11905.0,96.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Macon County,0.0,0.0,38552.0,363.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Macoupin County,0.0,0.0,15490.0,146.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Madison County,0.0,0.0,85398.0,844.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
Marion County,0.0,0.0,14026.0,220.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/illinois/
