County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Adams County,0.0,0.0,7602.0,112.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/indiana/
Allen County,0.0,0.0,103712.0,1173.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/indiana/
Bartholomew County,0.0,0.0,21330.0,249.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/indiana/
Benton County,0.0,0.0,2475.0,21.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/indiana/
Blackford County,0.0,0.0,3122.0,69.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/indiana/
Boone County,0.0,0.0,15189.0,181.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/indiana/
Brown County,0.0,0.0,2586.0,62.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/indiana/
Carroll County,0.0,0.0,4222.0,67.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/indiana/
Cass County,0.0,0.0,11654.0,163.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/indiana/
Clark County,0.0,0.0,31060.0,395.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/indiana/
Clay County,0.0,0.0,6826.0,87.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/indiana/
Clinton County,0.0,0.0,9188.0,124.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/indiana/
Crawford County,0.0,0.0,2548.0,38.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/indiana/
Daviess County,0.0,0.0,7469.0,151.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/indiana/
DeKalb County,0.0,0.0,11342.0,149.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/indiana/
Dearborn County,0.0,0.0,13431.0,139.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/indiana/
Decatur County,0.0,0.0,7061.0,145.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/indiana/
Delaware County,0.0,0.0,24805.0,440.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/indiana/
Dubois County,0.0,0.0,12857.0,165.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/indiana/
Elkhart County,0.0,0.0,54150.0,728.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/indiana/
Fayette County,0.0,0.0,6871.0,146.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/indiana/
Floyd County,0.0,0.0,18913.0,297.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/indiana/
Fountain County,0.0,0.0,5404.0,101.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/indiana/
Franklin County,0.0,0.0,4400.0,65.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/indiana/
Fulton County,0.0,0.0,4914.0,102.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/indiana/
Gibson County,0.0,0.0,11631.0,145.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/indiana/
Grant County,0.0,0.0,17684.0,345.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/indiana/
Greene County,0.0,0.0,7205.0,139.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/indiana/
Hamilton County,0.0,0.0,81765.0,656.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/indiana/
Hancock County,0.0,0.0,20657.0,258.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/indiana/
Harrison County,0.0,0.0,10806.0,138.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/indiana/
Hendricks County,0.0,0.0,40758.0,552.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/indiana/
Henry County,0.0,0.0,12979.0,229.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/indiana/
