County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Adair County,0.0,0.0,1794.0,52.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/iowa/
Adams County,0.0,0.0,931.0,14.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/iowa/
Allamakee County,0.0,0.0,3212.0,67.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/iowa/
Appanoose County,0.0,0.0,3403.0,80.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/iowa/
Audubon County,0.0,0.0,1299.0,24.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/iowa/
Benton County,0.0,0.0,7143.0,82.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/iowa/
Black Hawk County,0.0,0.0,38500.0,520.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/iowa/
Boone County,0.0,0.0,6446.0,67.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/iowa/
Bremer County,0.0,0.0,6323.0,87.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/iowa/
Buchanan County,0.0,0.0,5467.0,67.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/iowa/
Buena Vista County,0.0,0.0,6865.0,65.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/iowa/
Butler County,0.0,0.0,3774.0,61.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/iowa/
Calhoun County,0.0,0.0,3039.0,26.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/iowa/
Carroll County,0.0,0.0,5629.0,82.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/iowa/
Cass County,0.0,0.0,3267.0,87.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/iowa/
Cedar County,0.0,0.0,4991.0,46.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/iowa/
Cerro Gordo County,0.0,0.0,12665.0,180.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/iowa/
Cherokee County,0.0,0.0,3534.0,73.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/iowa/
Chickasaw County,0.0,0.0,3134.0,37.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/iowa/
Clarke County,0.0,0.0,2657.0,42.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/iowa/
Clay County,0.0,0.0,4750.0,52.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/iowa/
Clayton County,0.0,0.0,3986.0,80.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/iowa/
Clinton County,0.0,0.0,13727.0,167.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/iowa/
Crawford County,0.0,0.0,4987.0,59.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/iowa/
Dallas County,0.0,0.0,26604.0,157.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/iowa/
Davis County,0.0,0.0,1809.0,35.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/iowa/
Decatur County,0.0,0.0,1823.0,28.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/iowa/
Delaware County,0.0,0.0,4718.0,71.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/iowa/
Des Moines County,0.0,0.0,11061.0,160.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/iowa/
