County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Allen County,0.0,0.0,5021.0,53.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kansas/
Anderson County,0.0,0.0,2540.0,29.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kansas/
Atchison County,0.0,0.0,4949.0,34.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kansas/
Barber County,0.0,0.0,1211.0,8.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kansas/
Barton County,0.0,0.0,7553.0,96.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kansas/
Bourbon County,0.0,0.0,5438.0,52.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kansas/
Brown County,0.0,0.0,3115.0,46.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kansas/
Butler County,0.0,0.0,22135.0,184.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kansas/
Chase County,0.0,0.0,785.0,7.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kansas/
Chautauqua County,0.0,0.0,981.0,17.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kansas/
Cherokee County,0.0,0.0,7257.0,84.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kansas/
Cheyenne County,0.0,0.0,724.0,14.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kansas/
Clark County,0.0,0.0,568.0,8.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kansas/
Clay County,0.0,0.0,2415.0,35.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kansas/
Cloud County,0.0,0.0,2608.0,36.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kansas/
Coffey County,0.0,0.0,2785.0,42.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kansas/
Comanche County,0.0,0.0,543.0,16.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kansas/
Cowley County,0.0,0.0,12291.0,152.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kansas/
Crawford County,0.0,0.0,14793.0,128.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kansas/
Decatur County,0.0,0.0,776.0,20.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kansas/
Dickinson County,0.0,0.0,5803.0,78.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kansas/
