County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Adair County,0.0,0.0,7803.0,115.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kentucky/
Allen County,0.0,0.0,8512.0,125.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kentucky/
Anderson County,0.0,0.0,8489.0,79.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kentucky/
Ballard County,0.0,0.0,1742.0,37.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kentucky/
Barren County,0.0,0.0,17288.0,239.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kentucky/
Bath County,0.0,0.0,4646.0,53.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kentucky/
Bell County,0.0,0.0,11139.0,172.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kentucky/
Boone County,0.0,0.0,47219.0,353.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kentucky/
Bourbon County,0.0,0.0,7807.0,74.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kentucky/
Boyd County,0.0,0.0,22874.0,210.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kentucky/
Boyle County,0.0,0.0,11425.0,165.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kentucky/
Bracken County,0.0,0.0,2752.0,29.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kentucky/
Breathitt County,0.0,0.0,5389.0,72.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kentucky/
Breckinridge County,0.0,0.0,6685.0,89.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kentucky/
Bullitt County,0.0,0.0,29123.0,258.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kentucky/
Butler County,0.0,0.0,4746.0,58.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kentucky/
Caldwell County,0.0,0.0,5077.0,66.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kentucky/
Calloway County,0.0,0.0,11782.0,105.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kentucky/
Campbell County,0.0,0.0,30133.0,212.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kentucky/
Carlisle County,0.0,0.0,1356.0,24.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kentucky/
Carroll County,0.0,0.0,4321.0,54.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kentucky/
Carter County,0.0,0.0,12042.0,122.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kentucky/
Casey County,0.0,0.0,5388.0,84.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kentucky/
Christian County,0.0,0.0,20105.0,235.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kentucky/
Clark County,0.0,0.0,14495.0,83.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kentucky/
Clay County,0.0,0.0,9730.0,110.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kentucky/
Clinton County,0.0,0.0,4759.0,58.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kentucky/
Crittenden County,0.0,0.0,2845.0,58.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kentucky/
Cumberland County,0.0,0.0,2772.0,35.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kentucky/
Daviess County,0.0,0.0,38783.0,447.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kentucky/
Edmonson County,0.0,0.0,3288.0,57.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kentucky/
Elliott County,0.0,0.0,3680.0,22.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/kentucky/
