County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Acadia Parish,0.0,0.0,18241.0,301.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/louisiana/
Allen Parish,0.0,0.0,8819.0,143.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/louisiana/
Ascension Parish,0.0,0.0,40002.0,302.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/louisiana/
Assumption Parish,0.0,0.0,6402.0,72.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/louisiana/
Avoyelles Parish,0.0,0.0,13560.0,215.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/louisiana/
Beauregard Parish,0.0,0.0,10652.0,144.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/louisiana/
Bienville Parish,0.0,0.0,4707.0,115.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/louisiana/
Bossier Parish,0.0,0.0,47109.0,522.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/louisiana/
Caddo Parish,0.0,0.0,81999.0,1222.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/louisiana/
Calcasieu Parish,0.0,0.0,63247.0,731.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/louisiana/
Caldwell Parish,0.0,0.0,4286.0,55.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/louisiana/
Cameron Parish,0.0,0.0,1325.0,10.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/louisiana/
Catahoula Parish,0.0,0.0,3002.0,59.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/louisiana/
Claiborne Parish,0.0,0.0,3873.0,81.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/louisiana/
Concordia Parish,0.0,0.0,5943.0,91.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/louisiana/
De Soto Parish,0.0,0.0,9072.0,142.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/louisiana/
East Baton Rouge Parish,0.0,0.0,129335.0,1395.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/louisiana/
East Carroll Parish,0.0,0.0,3041.0,38.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/louisiana/
East Feliciana Parish,0.0,0.0,7878.0,177.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/louisiana/
Evangeline Parish,0.0,0.0,9858.0,161.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/louisiana/
Franklin Parish,0.0,0.0,8458.0,186.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/louisiana/
Grant Parish,0.0,0.0,6852.0,97.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/louisiana/
Iberia Parish,0.0,0.0,23088.0,271.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/louisiana/
