County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Androscoggin County,1.0,0.1,28899.0,351.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maine/
Aroostook County,2.0,0.0,18796.0,212.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maine/
Cumberland County,5.0,0.3,67752.0,527.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maine/
Franklin County,0.3,0.0,7462.0,72.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maine/
Hancock County,1.0,0.0,10439.0,123.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maine/
Kennebec County,2.0,0.0,30711.0,321.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maine/
Knox County,0.6,0.0,8334.0,62.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maine/
Lincoln County,0.3,0.0,7086.0,48.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maine/
Oxford County,0.1,0.0,14839.0,185.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maine/
Penobscot County,2.0,0.1,38491.0,418.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maine/
Piscataquis County,0.0,0.0,3998.0,48.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maine/
Sagadahoc County,0.1,0.0,7177.0,49.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maine/
Somerset County,1.0,0.1,13175.0,128.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maine/
Waldo County,0.6,0.0,8225.0,87.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maine/
Washington County,0.4,0.0,5946.0,76.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maine/
York County,3.0,0.3,53047.0,378.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maine/
