County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Allegany County,0.0,0.0,19335.0,372.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maryland/
Anne Arundel County,0.0,0.0,107255.0,1147.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maryland/
Baltimore County,0.0,0.0,154159.0,2587.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maryland/
Baltimore city,0.0,0.0,133148.0,1850.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maryland/
Calvert County,0.0,0.0,13159.0,153.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maryland/
Caroline County,0.0,0.0,6694.0,83.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maryland/
Carroll County,0.0,0.0,25078.0,424.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maryland/
Cecil County,0.0,0.0,18040.0,269.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maryland/
Charles County,0.0,0.0,34033.0,370.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maryland/
Dorchester County,0.0,0.0,8678.0,112.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maryland/
Frederick County,0.0,0.0,52763.0,546.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maryland/
Garrett County,0.0,0.0,6370.0,117.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maryland/
Harford County,0.0,0.0,44467.0,606.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maryland/
Howard County,0.0,0.0,56137.0,394.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maryland/
Kent County,0.0,0.0,3580.0,73.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maryland/
Montgomery County,0.0,0.0,216490.0,2138.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maryland/
Prince George's County,0.0,0.0,202294.0,2226.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maryland/
Queen Anne's County,0.0,0.0,8051.0,118.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maryland/
Somerset County,0.0,0.0,5721.0,76.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maryland/
St. Mary's County,0.0,0.0,22001.0,230.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maryland/
Talbot County,0.0,0.0,6446.0,94.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maryland/
Washington County,0.0,0.0,38202.0,600.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maryland/
Wicomico County,0.0,0.0,22565.0,342.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maryland/
Worcester County,0.0,0.0,9919.0,167.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/maryland/
