County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Barnstable County,21.0,0.0,50827.0,608.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/massachusetts/
Berkshire County,5.0,0.0,36117.0,395.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/massachusetts/
Bristol County,14.0,0.0,183515.0,2214.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/massachusetts/
Dukes County,3.0,0.0,8474.0,0.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/massachusetts/
Essex County,36.0,0.0,259560.0,2828.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/massachusetts/
Franklin County,2.0,0.0,14934.0,151.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/massachusetts/
Hampden County,18.0,0.0,173674.0,1859.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/massachusetts/
Hampshire County,4.0,0.0,40167.0,368.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/massachusetts/
Middlesex County,66.0,0.0,442620.0,4154.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/massachusetts/
Nantucket County,0.0,0.0,3606.0,0.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/massachusetts/
Norfolk County,25.0,0.0,175647.0,1976.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/massachusetts/
Plymouth County,20.0,0.0,144932.0,1736.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/massachusetts/
Suffolk County,30.0,0.0,270316.0,2050.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/massachusetts/
Worcester County,24.0,0.0,242884.0,2672.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/massachusetts/
