County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Alcona County,0.3,0.0,2005.0,81.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Alger County,0.0,0.0,2180.0,21.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Allegan County,2.0,0.0,32553.0,415.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Alpena County,0.1,0.0,6823.0,163.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Antrim County,0.1,0.0,5382.0,77.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Arenac County,0.0,0.0,3997.0,89.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Baraga County,0.1,0.0,2652.0,62.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Barry County,1.0,0.0,17286.0,191.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Bay County,0.7,0.0,32150.0,707.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Benzie County,0.4,0.0,4205.0,78.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Berrien County,3.0,0.1,42780.0,722.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Branch County,0.4,0.0,13695.0,217.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Calhoun County,1.0,0.1,43270.0,702.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Cass County,0.9,0.0,13298.0,173.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Charlevoix County,0.1,0.0,5971.0,75.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Cheboygan County,0.3,0.3,5908.0,138.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Chippewa County,0.1,0.0,10412.0,121.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Clare County,0.4,0.0,8423.0,194.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Clinton County,0.6,0.0,28665.0,245.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Crawford County,0.1,0.0,3282.0,40.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Delta County,0.1,0.0,12693.0,198.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Dickinson County,0.0,0.0,9584.0,133.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Eaton County,1.0,0.0,35831.0,497.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Emmet County,0.6,0.0,7704.0,114.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Genesee County,3.0,0.1,127432.0,2068.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Gladwin County,1.0,0.0,6927.0,141.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Gogebic County,0.3,0.0,4456.0,79.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Grand Traverse County,1.0,0.0,21836.0,279.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Gratiot County,0.1,0.0,13363.0,216.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Hillsdale County,0.1,0.0,12955.0,229.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Houghton County,0.4,0.0,9799.0,110.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Huron County,-0.3,0.0,9930.0,168.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Ingham County,5.0,0.0,86848.0,928.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Ionia County,0.1,0.0,20268.0,212.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Iosco County,0.1,0.0,5783.0,184.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Iron County,0.1,0.0,3708.0,103.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Isabella County,0.7,0.0,18310.0,242.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Jackson County,1.0,0.0,51249.0,656.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Kalamazoo County,5.0,0.0,76711.0,838.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Kalkaska County,0.1,0.0,4577.0,71.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Kent County,9.0,0.1,205003.0,1930.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Keweenaw County,0.0,0.0,677.0,17.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Lake County,0.3,0.0,2528.0,42.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Lapeer County,0.7,0.0,24658.0,488.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Leelanau County,0.7,0.1,4507.0,68.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Lenawee County,2.0,0.0,31555.0,382.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Livingston County,3.0,0.0,59109.0,558.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Luce County,-0.1,0.0,1679.0,25.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Mackinac County,0.3,0.0,3043.0,40.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Macomb County,16.0,0.7,306593.0,4684.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Manistee County,0.3,0.0,4946.0,109.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Marquette County,0.9,0.0,19860.0,180.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Mason County,0.1,0.0,8513.0,120.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Mecosta County,0.4,0.0,10464.0,130.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Menominee County,0.4,0.0,7346.0,87.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Midland County,1.0,0.0,23852.0,273.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Missaukee County,0.0,0.0,3629.0,72.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Monroe County,2.0,0.0,49338.0,560.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Montcalm County,1.0,0.0,18175.0,250.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Montmorency County,0.1,0.0,2028.0,53.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Muskegon County,3.0,0.0,49553.0,730.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Newaygo County,0.9,0.0,13922.0,185.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Oakland County,29.0,0.7,393036.0,4686.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Oceana County,0.7,0.0,7910.0,111.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
Ogemaw County,0.4,0.0,5174.0,126.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/michigan/
