County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Aitkin County,0.0,0.0,3184.0,63.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Anoka County,0.0,0.0,105106.0,808.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Becker County,0.0,0.0,9244.0,96.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Beltrami County,0.0,0.0,12551.0,128.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Benton County,0.0,0.0,14910.0,177.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Big Stone County,0.0,0.0,1465.0,9.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Blue Earth County,0.0,0.0,19001.0,105.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Brown County,0.0,0.0,6832.0,81.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Carlton County,0.0,0.0,9771.0,100.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Carver County,0.0,0.0,28686.0,119.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Cass County,0.0,0.0,7423.0,84.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Chippewa County,0.0,0.0,3260.0,48.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Chisago County,0.0,0.0,15410.0,120.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Clay County,0.0,0.0,20805.0,127.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Clearwater County,0.0,0.0,2207.0,31.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Cook County,0.0,0.0,651.0,4.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Cottonwood County,0.0,0.0,3330.0,41.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Crow Wing County,0.0,0.0,16901.0,172.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Dakota County,0.0,0.0,119858.0,796.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Dodge County,0.0,0.0,6095.0,22.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Douglas County,0.0,0.0,11579.0,119.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Faribault County,0.0,0.0,4001.0,54.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Fillmore County,0.0,0.0,5090.0,24.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Freeborn County,0.0,0.0,9476.0,78.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Goodhue County,0.0,0.0,14138.0,140.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Grant County,0.0,0.0,1550.0,12.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Hennepin County,0.0,0.0,333729.0,2634.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Houston County,0.0,0.0,4850.0,20.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Hubbard County,0.0,0.0,5177.0,60.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Isanti County,0.0,0.0,10611.0,119.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Itasca County,0.0,0.0,11877.0,149.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Jackson County,0.0,0.0,2221.0,17.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Kanabec County,0.0,0.0,3743.0,57.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Kandiyohi County,0.0,0.0,14043.0,142.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Kittson County,0.0,0.0,1076.0,28.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Koochiching County,0.0,0.0,3036.0,38.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Lac qui Parle County,0.0,0.0,1843.0,29.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Lake County,0.0,0.0,2277.0,30.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
Lake of the Woods County,0.0,0.0,812.0,6.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/minnesota/
