County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Adams County,0.0,0.0,8703.0,153.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
Alcorn County,0.0,0.0,12937.0,177.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
Amite County,0.0,0.0,3907.0,71.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
Attala County,0.0,0.0,6893.0,126.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
Benton County,0.0,0.0,2851.0,51.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
Bolivar County,0.0,0.0,11810.0,194.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
Calhoun County,0.0,0.0,5626.0,79.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
Carroll County,0.0,0.0,3101.0,59.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
Chickasaw County,0.0,0.0,7070.0,105.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
Choctaw County,0.0,0.0,2932.0,37.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
Claiborne County,0.0,0.0,2594.0,50.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
Clarke County,0.0,0.0,4913.0,112.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
Clay County,0.0,0.0,6279.0,104.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
Coahoma County,0.0,0.0,8302.0,139.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
Copiah County,0.0,0.0,9350.0,131.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
Covington County,0.0,0.0,8790.0,124.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
DeSoto County,0.0,0.0,62050.0,595.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
Forrest County,0.0,0.0,27776.0,331.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
Franklin County,0.0,0.0,2383.0,40.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
George County,0.0,0.0,8828.0,92.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
Greene County,0.0,0.0,3927.0,61.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
Grenada County,0.0,0.0,6500.0,142.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
Hancock County,0.0,0.0,15056.0,164.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
Harrison County,0.0,0.0,66683.0,720.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
Hinds County,0.0,0.0,68889.0,868.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
Holmes County,0.0,0.0,5285.0,108.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
Humphreys County,0.0,0.0,2440.0,51.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
Issaquena County,0.0,0.0,309.0,9.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
Itawamba County,0.0,0.0,9554.0,153.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
Jackson County,0.0,0.0,46292.0,505.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
Jasper County,0.0,0.0,6208.0,86.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
Jefferson County,0.0,0.0,1807.0,40.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
Jefferson Davis County,0.0,0.0,3709.0,57.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
Jones County,0.0,0.0,26729.0,316.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
Kemper County,0.0,0.0,2676.0,53.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
Lafayette County,0.0,0.0,19058.0,192.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
Lamar County,0.0,0.0,22343.0,173.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
Lauderdale County,0.0,0.0,22295.0,393.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/mississippi/
