County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Adair County,0.0,0.0,6770.0,71.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Andrew County,0.0,0.0,5704.0,66.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Atchison County,0.0,0.0,1823.0,24.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Audrain County,0.0,0.0,6924.0,125.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Barry County,0.0,0.0,8025.0,153.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Barton County,0.0,0.0,3417.0,56.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Bates County,0.0,0.0,4490.0,103.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Benton County,0.0,0.0,5543.0,114.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Bollinger County,0.0,0.0,3312.0,50.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Boone County,0.0,0.0,53913.0,304.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Buchanan County,0.0,0.0,29972.0,350.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Butler County,0.0,0.0,12575.0,186.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Caldwell County,0.0,0.0,2113.0,44.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Callaway County,0.0,0.0,14531.0,149.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Camden County,0.0,0.0,10972.0,197.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Cape Girardeau County,0.0,0.0,23697.0,278.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Carroll County,0.0,0.0,2715.0,48.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Carter County,0.0,0.0,1771.0,24.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Cass County,0.0,0.0,30517.0,349.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Cedar County,0.0,0.0,3814.0,61.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Chariton County,0.0,0.0,2035.0,43.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Christian County,0.0,0.0,25223.0,295.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Clark County,0.0,0.0,1931.0,50.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Clay County,0.0,0.0,33867.0,415.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Clinton County,0.0,0.0,5786.0,132.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Cole County,0.0,0.0,24390.0,308.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Cooper County,0.0,0.0,4823.0,82.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Crawford County,0.0,0.0,6645.0,117.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Dade County,0.0,0.0,1841.0,50.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Dallas County,0.0,0.0,4736.0,83.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Daviess County,0.0,0.0,2045.0,32.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
DeKalb County,0.0,0.0,2639.0,51.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Dent County,0.0,0.0,3996.0,93.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Douglas County,0.0,0.0,3087.0,89.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Dunklin County,0.0,0.0,9777.0,143.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Franklin County,0.0,0.0,31812.0,419.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Gasconade County,0.0,0.0,4132.0,116.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Gentry County,0.0,0.0,2644.0,38.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Greene County,0.0,0.0,86080.0,1174.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Grundy County,0.0,0.0,3175.0,75.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Harrison County,0.0,0.0,2484.0,36.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Henry County,0.0,0.0,7145.0,96.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Hickory County,0.0,0.0,2442.0,59.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Holt County,0.0,0.0,1321.0,34.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Howard County,0.0,0.0,2988.0,39.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
Howell County,0.0,0.0,11139.0,232.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/
