County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Beaverhead County,0.0,0.0,2492.0,33.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Big Horn County,0.0,0.0,5891.0,104.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Blaine County,0.0,0.0,2655.0,34.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Broadwater County,0.0,0.0,1557.0,22.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Carbon County,0.0,0.0,2509.0,30.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Carter County,0.0,0.0,291.0,5.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Cascade County,0.0,0.0,30426.0,377.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Chouteau County,0.0,0.0,1373.0,15.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Custer County,0.0,0.0,3551.0,54.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Daniels County,0.0,0.0,492.0,9.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Dawson County,0.0,0.0,2782.0,61.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Deer Lodge County,0.0,0.0,3314.0,30.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Fallon County,0.0,0.0,799.0,12.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Fergus County,0.0,0.0,2995.0,63.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Flathead County,0.0,0.0,34154.0,309.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Gallatin County,0.0,0.0,42028.0,135.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Garfield County,0.0,0.0,251.0,3.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Glacier County,0.0,0.0,4916.0,79.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Golden Valley County,0.0,0.0,178.0,5.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Granite County,0.0,0.0,680.0,10.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Hill County,0.0,0.0,5467.0,77.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Jefferson County,0.0,0.0,3194.0,27.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Judith Basin County,0.0,0.0,288.0,1.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Lake County,0.0,0.0,8429.0,110.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Lewis and Clark County,0.0,0.0,22092.0,205.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Liberty County,0.0,0.0,530.0,5.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Lincoln County,0.0,0.0,5732.0,97.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Madison County,0.0,0.0,2439.0,23.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
McCone County,0.0,0.0,455.0,10.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Meagher County,0.0,0.0,599.0,12.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Mineral County,0.0,0.0,1394.0,17.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Missoula County,0.0,0.0,34418.0,228.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Musselshell County,0.0,0.0,1113.0,31.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Park County,0.0,0.0,5208.0,39.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Petroleum County,0.0,0.0,46.0,1.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Phillips County,0.0,0.0,1153.0,31.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Pondera County,0.0,0.0,1501.0,11.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Powder River County,0.0,0.0,421.0,10.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Powell County,0.0,0.0,2240.0,32.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Prairie County,0.0,0.0,292.0,4.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Ravalli County,0.0,0.0,8680.0,180.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Richland County,0.0,0.0,3037.0,39.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Roosevelt County,0.0,0.0,4103.0,78.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Rosebud County,0.0,0.0,3133.0,63.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Sanders County,0.0,0.0,2470.0,53.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Sheridan County,0.0,0.0,936.0,13.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Silver Bow County,0.0,0.0,10155.0,139.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Stillwater County,0.0,0.0,1748.0,33.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Sweet Grass County,0.0,0.0,923.0,13.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
Teton County,0.0,0.0,1570.0,29.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/montana/
