County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Adams County,0.0,0.0,6499.0,46.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/nebraska/
Antelope County,0.0,0.0,1075.0,7.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/nebraska/
Arthur County,0.0,0.0,32.0,1.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/nebraska/
Banner County,0.0,0.0,89.0,0.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/nebraska/
Blaine County,0.0,0.0,67.0,0.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/nebraska/
Boone County,0.0,0.0,1091.0,4.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/nebraska/
Box Butte County,0.0,0.0,2336.0,8.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/nebraska/
Boyd County,0.0,0.0,404.0,3.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/nebraska/
Brown County,0.0,0.0,506.0,2.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/nebraska/
Buffalo County,0.0,0.0,12000.0,57.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/nebraska/
Burt County,0.0,0.0,1343.0,12.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/nebraska/
Butler County,0.0,0.0,1903.0,11.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/nebraska/
Cass County,0.0,0.0,6124.0,16.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/nebraska/
Cedar County,0.0,0.0,1506.0,11.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/nebraska/
Chase County,0.0,0.0,744.0,5.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/nebraska/
Cherry County,0.0,0.0,537.0,7.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/nebraska/
Cheyenne County,0.0,0.0,2025.0,16.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/nebraska/
