County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Carson City,4.0,0.0,17098.0,238.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/nevada/
Churchill County,0.1,0.0,7570.0,123.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/nevada/
Clark County,55.0,0.6,683020.0,9420.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/nevada/
Douglas County,0.3,0.0,8704.0,101.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/nevada/
Elko County,0.7,0.0,12765.0,153.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/nevada/
Esmeralda County,0.0,0.0,130.0,5.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/nevada/
Eureka County,0.0,0.0,176.0,2.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/nevada/
Humboldt County,0.4,0.0,2771.0,67.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/nevada/
Lander County,0.0,0.0,1325.0,23.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/nevada/
Lincoln County,0.0,0.0,701.0,12.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/nevada/
Lyon County,0.3,0.0,12205.0,192.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/nevada/
Mineral County,0.0,0.0,1484.0,20.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/nevada/
Nye County,0.6,0.0,8982.0,306.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/nevada/
Pershing County,0.0,0.0,2423.0,32.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/nevada/
Storey County,0.0,0.0,162.0,15.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/nevada/
Washoe County,13.0,0.0,130839.0,1349.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/nevada/
White Pine County,0.0,0.0,1897.0,26.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/nevada/
