County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Atlantic County,0.0,0.0,89852.0,1073.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-jersey/
Bergen County,0.0,0.0,320734.0,3708.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-jersey/
Burlington County,0.0,0.0,138798.0,1364.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-jersey/
Camden County,0.0,0.0,166044.0,1959.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-jersey/
Cape May County,0.0,0.0,29823.0,332.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-jersey/
Cumberland County,0.0,0.0,51414.0,657.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-jersey/
Essex County,0.0,0.0,287354.0,3756.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-jersey/
Gloucester County,0.0,0.0,89819.0,1044.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-jersey/
Hudson County,0.0,0.0,234993.0,2841.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-jersey/
Hunterdon County,0.0,0.0,34145.0,304.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-jersey/
Mercer County,0.0,0.0,109219.0,1338.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-jersey/
Middlesex County,0.0,0.0,271261.0,3011.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-jersey/
Monmouth County,0.0,0.0,220141.0,2362.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-jersey/
Morris County,0.0,0.0,163275.0,1668.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-jersey/
Ocean County,0.0,0.0,212331.0,3256.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-jersey/
Passaic County,0.0,0.0,190148.0,2446.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-jersey/
Salem County,0.0,0.0,18157.0,262.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-jersey/
Somerset County,0.0,0.0,96609.0,1025.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-jersey/
Sussex County,0.0,0.0,45026.0,516.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-jersey/
Union County,0.0,0.0,193462.0,2487.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-jersey/
Warren County,0.0,0.0,31693.0,365.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-jersey/
