County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Bernalillo County,0.0,0.0,200979.0,2320.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-mexico/
Catron County,0.0,0.0,534.0,23.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-mexico/
Chaves County,0.0,0.0,24828.0,365.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-mexico/
Cibola County,0.0,0.0,9680.0,218.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-mexico/
Colfax County,0.0,0.0,2870.0,73.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-mexico/
Curry County,0.0,0.0,15566.0,236.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-mexico/
De Baca County,0.0,0.0,769.0,6.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-mexico/
Doña Ana County,0.0,0.0,77555.0,952.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-mexico/
Eddy County,0.0,0.0,19409.0,329.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-mexico/
Grant County,0.0,0.0,10045.0,119.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-mexico/
Guadalupe County,0.0,0.0,1383.0,18.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-mexico/
Harding County,0.0,0.0,104.0,4.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-mexico/
Hidalgo County,0.0,0.0,1353.0,18.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-mexico/
Lea County,0.0,0.0,23156.0,413.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-mexico/
Lincoln County,0.0,0.0,6669.0,77.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-mexico/
Los Alamos County,0.0,0.0,4600.0,26.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-mexico/
Luna County,0.0,0.0,8114.0,154.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-mexico/
McKinley County,0.0,0.0,34303.0,667.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-mexico/
Mora County,0.0,0.0,1000.0,22.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-mexico/
Otero County,0.0,0.0,17251.0,232.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-mexico/
Quay County,0.0,0.0,2617.0,70.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-mexico/
Rio Arriba County,0.0,0.0,13636.0,170.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-mexico/
Roosevelt County,0.0,0.0,6286.0,112.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-mexico/
San Juan County,0.0,0.0,53406.0,871.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-mexico/
San Miguel County,0.0,0.0,7778.0,92.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-mexico/
Sandoval County,0.0,0.0,45886.0,522.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-mexico/
Santa Fe County,0.0,0.0,40925.0,410.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-mexico/
Sierra County,0.0,0.0,2512.0,89.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-mexico/
Socorro County,0.0,0.0,4816.0,102.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-mexico/
Taos County,0.0,0.0,7346.0,111.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-mexico/
Torrance County,0.0,0.0,3371.0,63.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-mexico/
Union County,0.0,0.0,963.0,19.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-mexico/
Valencia County,0.0,0.0,24467.0,333.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-mexico/
