County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Albany County,4.0,0.0,80346.0,638.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Allegany County,0.6,0.0,11023.0,166.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Bronx County,46.0,0.0,516827.0,8526.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Broome County,3.0,0.0,60149.0,617.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Cattaraugus County,0.3,0.0,19676.0,255.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Cayuga County,0.1,0.0,20886.0,189.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Chautauqua County,0.6,0.0,30105.0,349.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Chemung County,0.6,0.0,27114.0,268.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Chenango County,0.4,0.0,12096.0,143.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Clinton County,0.9,0.0,23348.0,137.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Columbia County,0.1,0.0,14214.0,182.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Cortland County,1.0,0.0,13742.0,139.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Delaware County,0.3,0.0,10373.0,94.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Dutchess County,5.0,0.0,86420.0,751.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Erie County,6.0,-38.0,274290.0,2698.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Essex County,0.4,0.0,7999.0,87.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Franklin County,0.6,0.0,12494.0,60.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Fulton County,0.4,0.0,16928.0,187.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Genesee County,0.3,0.0,16918.0,209.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Greene County,0.3,0.0,11254.0,155.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Hamilton County,0.1,0.0,1122.0,5.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Herkimer County,0.3,0.0,17772.0,216.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Jefferson County,1.0,0.0,27967.0,165.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Kings County,56.0,0.0,921654.0,14264.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Lewis County,0.3,0.0,7499.0,61.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Livingston County,0.3,0.0,14720.0,145.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Madison County,3.0,0.0,17175.0,152.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Monroe County,7.0,0.0,196930.0,1923.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Montgomery County,1.0,0.0,15355.0,240.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Nassau County,41.0,0.1,556923.0,4391.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
New York County,55.0,0.0,595433.0,6186.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Niagara County,0.6,0.0,60650.0,651.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Oneida County,2.0,0.0,70243.0,902.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Onondaga County,3.0,0.1,145336.0,1241.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Ontario County,0.9,0.0,26952.0,234.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Orange County,11.0,0.1,142325.0,1070.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Orleans County,0.1,0.0,10790.0,132.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Oswego County,0.7,0.1,35424.0,243.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Otsego County,0.9,0.0,13620.0,113.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Putnam County,3.0,0.0,32138.0,149.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Queens County,62.0,0.0,873689.0,13448.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Rensselaer County,2.0,0.1,42555.0,331.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Richmond County,10.0,0.0,213140.0,2749.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Rockland County,6.0,0.0,121316.0,988.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Saratoga County,1.0,0.0,62787.0,425.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Schenectady County,2.0,0.0,44559.0,393.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Schoharie County,0.6,0.0,6714.0,46.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Schuyler County,0.0,0.0,4400.0,32.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Seneca County,0.4,0.0,7914.0,97.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
St. Lawrence County,1.0,0.0,26943.0,229.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Steuben County,0.6,0.0,25891.0,284.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Suffolk County,46.0,0.4,575698.0,5011.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Sullivan County,3.0,0.1,25201.0,155.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Tioga County,0.3,0.0,14376.0,95.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Tompkins County,0.9,0.0,27236.0,106.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Ulster County,2.0,0.0,44178.0,428.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Warren County,0.7,0.0,19349.0,161.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Washington County,0.0,0.0,16237.0,140.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Wayne County,1.0,0.0,22592.0,218.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Westchester County,33.0,0.1,340721.0,3032.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Wyoming County,0.3,0.0,10120.0,98.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
Yates County,0.1,0.0,4544.0,45.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/new-york/
