County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Alamance County,0.0,0.0,62441.0,585.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-carolina/
Alexander County,0.0,0.0,12844.0,161.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-carolina/
Alleghany County,0.0,0.0,3810.0,23.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-carolina/
Anson County,0.0,0.0,8549.0,114.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-carolina/
Ashe County,0.0,0.0,7692.0,96.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-carolina/
Avery County,0.0,0.0,5608.0,49.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-carolina/
Beaufort County,0.0,0.0,16239.0,189.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-carolina/
Bertie County,0.0,0.0,5515.0,78.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-carolina/
Bladen County,0.0,0.0,12161.0,150.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-carolina/
Brunswick County,0.0,0.0,41603.0,389.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-carolina/
Buncombe County,0.0,0.0,71806.0,727.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-carolina/
Burke County,0.0,0.0,32201.0,371.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-carolina/
Cabarrus County,0.0,0.0,72938.0,576.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-carolina/
Caldwell County,0.0,0.0,30720.0,376.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-carolina/
Camden County,0.0,0.0,2236.0,10.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-carolina/
Carteret County,0.0,0.0,18640.0,165.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-carolina/
Caswell County,0.0,0.0,6697.0,61.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-carolina/
Catawba County,0.0,0.0,61135.0,685.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-carolina/
Chatham County,0.0,0.0,18401.0,137.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-carolina/
Cherokee County,0.0,0.0,8811.0,138.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-carolina/
Chowan County,0.0,0.0,5340.0,67.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-carolina/
Clay County,0.0,0.0,3529.0,52.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-carolina/
