County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Adams County,0.0,0.0,703.0,10.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
Barnes County,0.3,0.0,3801.0,47.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
Benson County,0.1,0.0,2316.0,23.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
Billings County,0.1,0.0,171.0,1.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
Bottineau County,0.1,0.0,1915.0,26.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
Bowman County,-0.1,0.0,938.0,9.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
Burke County,0.0,0.0,498.0,3.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
Burleigh County,0.9,0.0,41882.0,303.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
Cass County,4.0,0.0,72221.0,333.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
Cavalier County,0.1,0.0,1014.0,7.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
Dickey County,0.0,0.0,1856.0,39.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
Divide County,0.0,0.0,611.0,4.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
Dunn County,0.0,0.0,1211.0,8.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
Eddy County,0.0,0.0,913.0,6.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
Emmons County,0.0,0.0,844.0,18.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
Foster County,0.1,0.0,1179.0,23.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
Golden Valley County,0.0,0.0,518.0,4.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
Grand Forks County,3.0,0.0,27492.0,125.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
Grant County,0.0,0.0,560.0,11.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
Griggs County,0.1,0.0,706.0,2.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
Hettinger County,0.0,0.0,969.0,8.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
Kidder County,0.0,0.0,609.0,13.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
LaMoure County,0.0,0.0,1194.0,20.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
Logan County,0.0,0.0,564.0,12.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
McHenry County,0.0,0.0,1607.0,31.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
McIntosh County,0.0,0.0,913.0,9.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
McKenzie County,0.1,0.0,3687.0,25.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
McLean County,0.1,0.0,3236.0,49.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
Mercer County,0.0,0.0,3080.0,24.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
Morton County,0.1,0.0,13486.0,142.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
Mountrail County,0.6,0.0,3977.0,37.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
Nelson County,0.1,0.0,940.0,18.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
Oliver County,0.0,0.0,380.0,5.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
Pembina County,0.4,0.0,2450.0,16.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
Pierce County,0.0,0.0,1261.0,32.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
Ramsey County,0.1,0.0,4458.0,57.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
Ransom County,0.1,0.0,1970.0,28.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
Renville County,0.0,0.0,677.0,15.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
Richland County,0.0,0.0,4894.0,23.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
Rolette County,0.0,0.0,8270.0,43.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
Sargent County,0.0,0.0,1340.0,9.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/north-dakota/
