County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Adams County,0.0,0.0,9012.0,156.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Allen County,0.0,0.0,34498.0,514.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Ashland County,0.0,0.0,15177.0,238.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Ashtabula County,0.0,0.0,26559.0,457.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Athens County,0.0,0.0,20276.0,155.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Auglaize County,0.0,0.0,14476.0,202.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Belmont County,0.0,0.0,19466.0,152.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Brown County,0.0,0.0,14310.0,181.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Butler County,0.0,0.0,117929.0,1243.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Carroll County,0.0,0.0,6450.0,138.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Champaign County,0.0,0.0,10916.0,163.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Clark County,0.0,0.0,44152.0,627.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Clermont County,0.0,0.0,66584.0,622.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Clinton County,0.0,0.0,13020.0,185.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Columbiana County,0.0,0.0,30130.0,479.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Coshocton County,0.0,0.0,10201.0,171.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Crawford County,0.0,0.0,14387.0,228.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Cuyahoga County,0.0,0.0,357000.0,4174.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Darke County,0.0,0.0,15253.0,230.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Defiance County,0.0,0.0,12580.0,152.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Delaware County,0.0,0.0,56850.0,303.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Erie County,0.0,0.0,25317.0,295.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Fairfield County,0.0,0.0,47966.0,463.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Fayette County,0.0,0.0,9529.0,133.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Franklin County,0.0,0.0,371664.0,2831.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Fulton County,0.0,0.0,12830.0,185.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Gallia County,0.0,0.0,10602.0,117.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Geauga County,0.0,0.0,20883.0,293.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Greene County,0.0,0.0,49087.0,544.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Guernsey County,0.0,0.0,13815.0,166.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Hamilton County,0.0,0.0,242122.0,2238.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Hancock County,0.0,0.0,21739.0,291.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Hardin County,0.0,0.0,8918.0,166.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Harrison County,0.0,0.0,4213.0,67.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Henry County,0.0,0.0,7981.0,112.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Highland County,0.0,0.0,13713.0,188.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Hocking County,0.0,0.0,8767.0,134.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Holmes County,0.0,0.0,5953.0,192.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Huron County,0.0,0.0,18185.0,228.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Jackson County,0.0,0.0,11998.0,149.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Jefferson County,0.0,0.0,19053.0,255.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Knox County,0.0,0.0,16678.0,247.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Lake County,0.0,0.0,62956.0,831.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Lawrence County,0.0,0.0,24785.0,64.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Licking County,0.0,0.0,53509.0,521.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Logan County,0.0,0.0,12886.0,182.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Lorain County,0.0,0.0,91693.0,1071.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Lucas County,0.0,0.0,127984.0,1509.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Madison County,0.0,0.0,11710.0,144.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Mahoning County,0.0,0.0,68726.0,1192.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Marion County,0.0,0.0,24830.0,287.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Medina County,0.0,0.0,51671.0,537.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Meigs County,0.0,0.0,6534.0,96.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Mercer County,0.0,0.0,11600.0,136.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Miami County,0.0,0.0,32348.0,522.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Monroe County,0.0,0.0,4284.0,59.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Montgomery County,0.0,0.0,164777.0,2238.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Morgan County,0.0,0.0,4258.0,64.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Morrow County,0.0,0.0,9525.0,115.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Muskingum County,0.0,0.0,32146.0,327.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Noble County,0.0,0.0,3941.0,61.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Ottawa County,0.0,0.0,11061.0,150.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Paulding County,0.0,0.0,5643.0,63.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Perry County,0.0,0.0,10490.0,134.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Pickaway County,0.0,0.0,21486.0,242.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Pike County,0.0,0.0,10086.0,138.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Portage County,0.0,0.0,45004.0,484.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Preble County,0.0,0.0,11778.0,185.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Putnam County,0.0,0.0,10058.0,168.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Richland County,0.0,0.0,39682.0,547.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Ross County,0.0,0.0,25367.0,327.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Sandusky County,0.0,0.0,17843.0,259.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Scioto County,0.0,0.0,28287.0,255.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Seneca County,0.0,0.0,15975.0,249.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Shelby County,0.0,0.0,13451.0,208.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Stark County,0.0,0.0,99786.0,1839.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Summit County,0.0,0.0,145563.0,1871.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Trumbull County,0.0,0.0,53598.0,957.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Tuscarawas County,0.0,0.0,25914.0,549.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Union County,0.0,0.0,20168.0,117.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Van Wert County,0.0,0.0,8320.0,136.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Vinton County,0.0,0.0,3747.0,60.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Warren County,0.0,0.0,73540.0,644.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Washington County,0.0,0.0,15734.0,228.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Wayne County,0.0,0.0,28944.0,479.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Williams County,0.0,0.0,12189.0,142.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Wood County,0.0,0.0,39127.0,396.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
Wyandot County,0.0,0.0,6747.0,112.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/ohio/
