County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Adair County,0.0,0.0,9983.0,80.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oklahoma/
Alfalfa County,0.0,0.0,1896.0,17.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oklahoma/
Atoka County,0.0,0.0,4773.0,58.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oklahoma/
Beaver County,0.0,0.0,1200.0,12.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oklahoma/
Beckham County,0.0,0.0,7345.0,109.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oklahoma/
Blaine County,0.0,0.0,2971.0,53.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oklahoma/
Bryan County,0.0,0.0,17609.0,150.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oklahoma/
Caddo County,0.0,0.0,10348.0,191.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oklahoma/
Canadian County,0.0,0.0,48889.0,446.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oklahoma/
Carter County,0.0,0.0,19657.0,275.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oklahoma/
Cherokee County,0.0,0.0,17812.0,167.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oklahoma/
Choctaw County,0.0,0.0,5113.0,74.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oklahoma/
Cimarron County,0.0,0.0,720.0,9.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oklahoma/
Cleveland County,0.0,0.0,101912.0,928.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oklahoma/
Coal County,0.0,0.0,2154.0,28.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oklahoma/
Comanche County,0.0,0.0,39666.0,444.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oklahoma/
Cotton County,0.0,0.0,1705.0,35.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oklahoma/
Craig County,0.0,0.0,6101.0,67.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oklahoma/
