County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Baker County,0.0,0.0,3204.0,46.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
Benton County,0.0,0.0,15102.0,66.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
Clackamas County,0.0,0.0,59978.0,581.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
Clatsop County,0.0,0.0,4596.0,47.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
Columbia County,0.0,0.0,7554.0,92.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
Coos County,0.0,0.0,10647.0,149.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
Crook County,0.0,0.0,6036.0,77.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
Curry County,0.0,0.0,3340.0,52.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
Deschutes County,0.0,0.0,45881.0,266.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
Douglas County,0.0,0.0,19726.0,380.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
Gilliam County,0.0,0.0,283.0,5.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
Grant County,0.0,0.0,1670.0,20.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
Harney County,0.0,0.0,1601.0,37.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
Hood River County,0.0,0.0,3548.0,42.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
Jackson County,0.0,0.0,42608.0,511.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
Jefferson County,0.0,0.0,7214.0,88.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
Josephine County,0.0,0.0,16314.0,322.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
Klamath County,0.0,0.0,14094.0,210.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
Lake County,0.0,0.0,1403.0,26.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
Lane County,0.0,0.0,57237.0,502.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
Lincoln County,0.0,0.0,7000.0,81.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
Linn County,0.0,0.0,26383.0,255.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
Malheur County,0.0,0.0,8203.0,108.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
Marion County,0.0,0.0,68793.0,697.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
Morrow County,0.0,0.0,2950.0,33.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
Multnomah County,0.0,0.0,113186.0,1135.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
Polk County,0.0,0.0,15243.0,127.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
Sherman County,0.0,0.0,318.0,5.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
Tillamook County,0.0,0.0,3645.0,60.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
Umatilla County,0.0,0.0,22327.0,208.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
Union County,0.0,0.0,5016.0,76.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
Wallowa County,0.0,0.0,1251.0,16.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
Wasco County,0.0,0.0,5119.0,60.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
Washington County,0.0,0.0,85081.0,553.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
Wheeler County,0.0,0.0,242.0,3.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
Yamhill County,0.0,0.0,17722.0,211.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/oregon/
