County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Adams County,0.0,0.0,32070.0,435.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/pennsylvania/
Allegheny County,0.0,0.0,344409.0,3933.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/pennsylvania/
Armstrong County,0.0,0.1,18592.0,396.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/pennsylvania/
Beaver County,0.0,0.0,49883.0,867.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/pennsylvania/
Bedford County,0.0,0.0,12924.0,293.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/pennsylvania/
Berks County,0.0,0.0,127929.0,1801.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/pennsylvania/
Blair County,0.0,0.1,35550.0,698.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/pennsylvania/
Bradford County,0.0,0.0,21012.0,238.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/pennsylvania/
Bucks County,0.0,0.1,157915.0,2208.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/pennsylvania/
Butler County,0.0,0.4,55923.0,861.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/pennsylvania/
Cambria County,0.0,0.0,44054.0,827.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/pennsylvania/
Cameron County,0.0,0.0,1061.0,23.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/pennsylvania/
Carbon County,0.0,0.0,20414.0,357.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/pennsylvania/
Centre County,0.0,0.0,44778.0,409.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/pennsylvania/
Chester County,0.0,0.0,118990.0,1362.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/pennsylvania/
Clarion County,0.0,0.0,10017.0,224.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/pennsylvania/
Clearfield County,0.0,0.0,24791.0,402.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/pennsylvania/
