County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Abbeville County,0.0,0.0,6655.0,69.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Aiken County,0.0,0.0,41767.0,437.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Allendale County,0.0,0.0,2093.0,24.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Anderson County,0.0,0.0,58025.0,998.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Bamberg County,0.0,0.0,3446.0,75.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Barnwell County,0.0,0.0,5834.0,103.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Beaufort County,0.0,0.0,43530.0,380.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Berkeley County,0.0,0.0,52240.0,450.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Calhoun County,0.0,0.0,2799.0,61.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Charleston County,0.0,0.0,112905.0,945.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Cherokee County,0.0,0.0,14761.0,322.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Chester County,0.0,0.0,10134.0,153.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Chesterfield County,0.0,0.0,11836.0,191.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Clarendon County,0.0,0.0,8776.0,159.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Colleton County,0.0,0.0,8913.0,221.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Darlington County,0.0,0.0,18939.0,311.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Dillon County,0.0,0.0,9729.0,144.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Dorchester County,0.0,0.0,56325.0,496.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Edgefield County,0.0,0.0,6779.0,71.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Fairfield County,0.0,0.0,6007.0,107.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Florence County,0.0,0.0,41861.0,631.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Georgetown County,0.0,0.0,15958.0,227.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Greenville County,0.0,0.0,173338.0,2008.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Greenwood County,0.0,0.0,22607.0,305.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Hampton County,0.0,0.0,5024.0,86.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Horry County,0.0,0.0,97534.0,1159.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Jasper County,0.0,0.0,5924.0,93.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Kershaw County,0.0,0.0,21623.0,261.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Lancaster County,0.0,0.0,25276.0,281.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Laurens County,0.0,0.0,18667.0,295.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Lee County,0.0,0.0,4272.0,95.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Lexington County,0.0,0.0,96569.0,872.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Marion County,0.0,0.0,8564.0,163.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Marlboro County,0.0,0.0,7880.0,105.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
McCormick County,0.0,0.0,2244.0,40.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Newberry County,0.0,0.0,13355.0,195.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Oconee County,0.0,0.0,24348.0,343.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Orangeburg County,0.0,0.0,23425.0,420.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Pickens County,0.0,0.0,46111.0,632.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Richland County,0.0,0.0,123578.0,947.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Saluda County,0.0,0.0,3968.0,78.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Spartanburg County,0.0,0.0,95357.0,1548.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Sumter County,0.0,0.0,28100.0,394.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Union County,0.0,0.0,7750.0,150.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
Williamsburg County,0.0,0.0,8557.0,146.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
York County,0.0,0.0,78263.0,678.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-carolina/
