County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Aurora County,0.0,0.0,905.0,18.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-dakota/
Beadle County,0.0,0.0,5705.0,65.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-dakota/
Bennett County,0.0,0.0,954.0,16.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-dakota/
Bon Homme County,0.0,0.0,2635.0,43.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-dakota/
Brookings County,0.0,0.0,9602.0,67.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-dakota/
Brown County,0.0,0.0,12345.0,140.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-dakota/
Brule County,0.0,0.0,1700.0,27.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-dakota/
Buffalo County,0.0,0.0,697.0,19.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-dakota/
Butte County,0.0,0.0,3288.0,49.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-dakota/
Campbell County,0.0,0.0,309.0,7.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-dakota/
Charles Mix County,0.0,0.0,3814.0,39.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-dakota/
Clark County,0.0,0.0,1002.0,12.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-dakota/
Clay County,0.0,0.0,3992.0,28.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-dakota/
Codington County,0.0,0.0,10854.0,109.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-dakota/
Corson County,0.0,0.0,1224.0,18.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-dakota/
Custer County,0.0,0.0,2527.0,29.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-dakota/
Davison County,0.0,0.0,7200.0,89.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-dakota/
Day County,0.0,0.0,1553.0,43.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-dakota/
Deuel County,0.0,0.0,1208.0,12.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-dakota/
Dewey County,0.0,0.0,3519.0,47.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-dakota/
Douglas County,0.0,0.0,855.0,16.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-dakota/
Edmunds County,0.0,0.0,1080.0,17.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-dakota/
Fall River County,0.0,0.0,2542.0,44.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-dakota/
Faulk County,0.0,0.0,721.0,17.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-dakota/
Grant County,0.0,0.0,2470.0,55.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-dakota/
Gregory County,0.0,0.0,1236.0,34.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-dakota/
Haakon County,0.0,0.0,539.0,12.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-dakota/
Hamlin County,0.0,0.0,1831.0,42.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-dakota/
Hand County,0.0,0.0,697.0,14.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/south-dakota/
