County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Anderson County,0.0,0.0,22095.0,334.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/tennessee/
Bedford County,0.0,0.0,14961.0,236.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/tennessee/
Benton County,0.0,0.0,4515.0,92.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/tennessee/
Bledsoe County,0.0,0.0,4661.0,57.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/tennessee/
Blount County,0.0,0.0,39149.0,436.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/tennessee/
Bradley County,0.0,0.0,33143.0,415.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/tennessee/
Campbell County,0.0,0.0,12231.0,167.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/tennessee/
Cannon County,0.0,0.0,4202.0,63.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/tennessee/
Carroll County,0.0,0.0,8957.0,156.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/tennessee/
Carter County,0.0,0.0,16491.0,335.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/tennessee/
Cheatham County,0.0,0.0,10913.0,119.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/tennessee/
Chester County,0.0,0.0,5848.0,97.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/tennessee/
Claiborne County,0.0,0.0,9105.0,178.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/tennessee/
Clay County,0.0,0.0,2293.0,50.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/tennessee/
Cocke County,0.0,0.0,11586.0,216.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/tennessee/
Coffee County,0.0,0.0,16947.0,267.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/tennessee/
Crockett County,0.0,0.0,5183.0,85.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/tennessee/
Cumberland County,0.0,0.0,16112.0,326.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/tennessee/
Davidson County,0.0,0.0,192129.0,1670.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/tennessee/
DeKalb County,0.0,0.0,6279.0,101.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/tennessee/
