County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Anderson County,0.0,0.0,11389.0,258.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/texas/
Andrews County,0.0,0.0,4499.0,75.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/texas/
Angelina County,0.0,0.0,13581.0,507.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/texas/
Aransas County,0.0,0.0,5777.0,98.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/texas/
Archer County,0.0,0.0,2636.0,31.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/texas/
Armstrong County,0.0,0.0,650.0,10.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/texas/
Atascosa County,0.0,0.0,15461.0,241.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/texas/
Austin County,0.0,0.0,7213.0,84.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/texas/
Bailey County,0.0,0.0,1741.0,40.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/texas/
Bandera County,0.0,0.0,4226.0,81.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/texas/
Bastrop County,0.0,0.0,26233.0,256.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/texas/
Baylor County,0.0,0.0,910.0,33.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/texas/
Bee County,0.0,0.0,10480.0,156.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/texas/
Bell County,0.0,0.0,89760.0,948.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/texas/
Bexar County,0.0,0.0,709927.0,6550.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/texas/
Blanco County,0.0,0.0,3289.0,37.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/texas/
Borden County,0.0,0.0,117.0,2.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/texas/
Bosque County,0.0,0.0,4663.0,78.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/texas/
Bowie County,0.0,0.0,24358.0,458.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/texas/
Brazoria County,0.0,0.0,119682.0,1046.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/texas/
Brazos County,0.0,0.0,78145.0,439.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/texas/
Brewster County,0.0,0.0,1524.0,34.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/texas/
Briscoe County,0.0,0.0,570.0,8.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/texas/
Brooks County,0.0,0.0,2214.0,55.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/texas/
Brown County,0.0,0.0,15999.0,240.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/texas/
Burleson County,0.0,0.0,5704.0,68.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/texas/
Burnet County,0.0,0.0,13293.0,182.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/texas/
Caldwell County,0.0,0.0,17215.0,187.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/texas/
Calhoun County,0.0,0.0,7076.0,55.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/texas/
Callahan County,0.0,0.0,3559.0,80.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/texas/
Cameron County,0.0,0.0,132898.0,2133.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/texas/
