County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Beaver County,0.0,0.0,754.0,7.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/utah/
Box Elder County,0.0,0.0,16188.0,137.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/utah/
Cache County,0.0,0.0,41962.0,135.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/utah/
Carbon County,0.0,0.0,5353.0,46.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/utah/
Daggett County,0.0,0.0,37.0,0.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/utah/
Davis County,0.0,0.0,121193.0,463.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/utah/
Duchesne County,0.0,0.0,1217.0,9.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/utah/
Emery County,0.0,0.0,2522.0,28.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/utah/
Garfield County,0.0,0.0,466.0,10.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/utah/
Grand County,0.0,0.0,2442.0,6.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/utah/
Iron County,0.0,0.0,5374.0,32.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/utah/
Juab County,0.0,0.0,2896.0,26.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/utah/
Kane County,0.0,0.0,647.0,5.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/utah/
Millard County,0.0,0.0,3274.0,36.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/utah/
Morgan County,0.0,0.0,3043.0,16.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/utah/
Piute County,0.0,0.0,304.0,8.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/utah/
Rich County,0.0,0.0,388.0,3.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/utah/
Salt Lake County,0.0,0.0,414344.0,1880.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/utah/
San Juan County,0.0,0.0,5304.0,53.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/utah/
Sanpete County,0.0,0.0,8370.0,64.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/utah/
Sevier County,0.0,0.0,5446.0,33.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/utah/
Summit County,0.0,0.0,16161.0,30.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/utah/
Tooele County,0.0,0.0,25229.0,117.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/utah/
Uintah County,0.0,0.0,1757.0,18.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/utah/
Utah County,0.0,0.0,227503.0,892.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/utah/
Wasatch County,0.0,0.0,12310.0,39.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/utah/
Washington County,0.0,0.0,20522.0,204.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/utah/
Wayne County,0.0,0.0,443.0,0.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/utah/
Weber County,0.0,0.0,82180.0,497.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/utah/
