County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Addison County,0.0,0.0,6940.0,33.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/vermont/
Bennington County,0.0,0.0,12193.0,94.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/vermont/
Caledonia County,0.0,0.0,6524.0,41.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/vermont/
Chittenden County,0.0,0.0,39572.0,230.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/vermont/
Essex County,0.0,0.0,1461.0,4.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/vermont/
Franklin County,0.0,0.0,11672.0,86.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/vermont/
Grand Isle County,0.0,0.0,1292.0,8.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/vermont/
Lamoille County,0.0,0.0,4351.0,28.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/vermont/
Orange County,0.0,0.0,5124.0,17.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/vermont/
Orleans County,0.0,0.0,7152.0,49.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/vermont/
Rutland County,0.0,0.0,17030.0,98.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/vermont/
Washington County,0.0,0.0,14223.0,80.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/vermont/
Windham County,0.0,0.0,8915.0,53.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/vermont/
Windsor County,0.0,0.0,11724.0,68.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/vermont/
