County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Accomack County,2.0,0.0,9295.0,122.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Albemarle County,1.0,0.0,25822.0,209.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Alexandria city,4.0,0.0,46085.0,233.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Alleghany County,1.0,0.0,4603.0,112.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Amelia County,0.3,0.0,3643.0,64.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Amherst County,0.6,0.0,9771.0,114.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Appomattox County,0.1,0.0,5088.0,63.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Arlington County,5.0,0.0,67482.0,371.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Augusta County,1.0,0.0,24698.0,236.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Bath County,0.4,0.0,1091.0,21.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Bedford County,3.0,0.0,22492.0,288.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Bland County,0.4,0.0,2442.0,25.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Botetourt County,0.7,0.0,10134.0,118.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Bristol city,0.6,0.0,6390.0,113.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Brunswick County,-0.1,0.0,4144.0,54.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Buchanan County,0.4,0.0,6253.0,149.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Buckingham County,0.3,0.0,5053.0,65.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Buena Vista city,0.1,0.0,2353.0,48.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Campbell County,2.0,0.0,17919.0,239.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Caroline County,2.0,0.0,9129.0,95.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Carroll County,0.7,0.0,9981.0,179.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Charles City County,0.6,0.0,1753.0,31.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Charlotte County,0.3,0.0,3505.0,50.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Charlottesville city,0.6,0.0,12566.0,86.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Chesapeake city,7.0,0.0,65214.0,569.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Chesterfield County,7.0,0.0,101347.0,874.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Clarke County,0.7,0.0,3568.0,58.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Colonial Heights city,-0.3,0.0,6453.0,112.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Covington city,0.0,0.0,1935.0,31.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Craig County,0.7,0.0,1470.0,25.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Culpeper County,2.0,0.0,14604.0,178.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Cumberland County,0.1,0.0,1906.0,31.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Danville city,1.0,0.1,15007.0,304.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Dickenson County,0.3,0.0,4986.0,72.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Dinwiddie County,0.9,0.0,7641.0,110.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Emporia city,0.0,0.0,1704.0,57.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Essex County,0.0,0.0,2875.0,42.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Fairfax County,26.0,0.0,265605.0,1719.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Fairfax city,0.4,0.0,2830.0,50.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Falls Church city,0.1,0.0,3566.0,21.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Fauquier County,0.6,0.0,16797.0,164.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Floyd County,1.0,0.0,3800.0,55.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Fluvanna County,0.3,0.0,6976.0,54.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Franklin County,2.0,0.0,14291.0,231.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Franklin city,-0.1,0.0,2657.0,56.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Frederick County,0.7,0.0,27072.0,292.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Fredericksburg city,0.4,0.0,7353.0,52.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Galax city,0.0,0.0,3336.0,86.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Giles County,0.6,0.0,5353.0,60.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Gloucester County,1.0,0.0,9775.0,116.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Goochland County,0.3,0.0,5900.0,63.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Grayson County,0.4,0.0,5712.0,98.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Greene County,0.3,0.0,5137.0,65.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Greensville County,0.4,0.0,3939.0,45.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Halifax County,0.6,0.0,9823.0,195.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Hampton city,4.0,0.0,39020.0,375.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Hanover County,0.7,0.0,29434.0,348.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Harrisonburg city,0.7,0.0,15402.0,185.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Henrico County,14.0,0.0,94815.0,1100.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Henry County,1.0,0.0,16345.0,330.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Highland County,0.1,0.0,501.0,6.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Hopewell city,0.0,0.0,8046.0,127.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Isle of Wight County,0.6,0.0,9335.0,130.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
James City County,2.0,0.0,21602.0,155.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
King George County,0.6,0.0,7009.0,57.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
King William County,0.4,0.0,4774.0,53.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
King and Queen County,0.3,0.0,1489.0,15.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Lancaster County,0.1,0.0,2409.0,42.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Lee County,0.7,0.0,8680.0,132.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Lexington city,0.1,0.0,2758.0,34.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Loudoun County,13.0,0.0,99510.0,449.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Louisa County,0.9,0.0,9015.0,103.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Lunenburg County,0.6,0.0,3423.0,45.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Lynchburg city,2.0,0.0,24754.0,330.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Madison County,0.1,0.0,3210.0,49.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Manassas Park city,0.6,0.0,4964.0,31.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Manassas city,0.6,0.0,12034.0,80.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Martinsville city,0.1,0.0,4672.0,126.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Mathews County,0.3,0.0,2094.0,27.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Mecklenburg County,0.7,0.0,8069.0,148.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Middlesex County,0.0,0.0,2565.0,55.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Montgomery County,2.0,0.0,25480.0,190.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Nelson County,0.1,0.0,3291.0,40.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
New Kent County,1.0,0.0,6044.0,45.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Newport News city,8.0,0.0,50541.0,460.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Norfolk city,4.0,0.0,54596.0,549.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Northampton County,0.7,0.0,2973.0,79.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
Northumberland County,0.0,0.0,2737.0,47.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/virginia/
