County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Adams County,0.0,0.0,5686.0,51.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Asotin County,0.6,0.0,5749.0,84.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Benton County,5.0,0.1,62886.0,548.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Chelan County,2.0,0.0,24389.0,184.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Clallam County,3.0,0.0,16260.0,213.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Clark County,7.0,0.3,114138.0,1045.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Columbia County,0.0,0.0,776.0,20.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Cowlitz County,2.0,0.0,27656.0,424.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Douglas County,0.4,0.0,13455.0,100.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Ferry County,0.1,0.0,1883.0,35.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Franklin County,2.0,0.0,37123.0,222.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Garfield County,0.0,0.0,509.0,7.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Grant County,3.0,0.1,32610.0,240.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Grays Harbor County,3.0,0.1,20877.0,266.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Island County,3.0,0.0,14220.0,141.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Jefferson County,0.7,0.1,5169.0,45.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
King County,57.0,0.3,562608.0,3529.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Kitsap County,6.0,0.1,54509.0,442.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Kittitas County,0.3,0.0,10558.0,89.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Klickitat County,0.1,0.0,4386.0,64.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Lewis County,1.0,0.0,21154.0,290.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Lincoln County,0.0,0.0,2752.0,34.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Mason County,2.0,0.1,16253.0,189.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Okanogan County,0.9,0.0,11070.0,148.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Pacific County,0.1,0.0,4882.0,78.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Pend Oreille County,0.0,0.0,3012.0,49.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Pierce County,29.0,0.3,250820.0,1664.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
San Juan County,0.3,0.0,2060.0,5.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Skagit County,2.0,0.0,29404.0,285.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Skamania County,0.3,0.0,1836.0,21.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Snohomish County,23.0,0.1,210303.0,1459.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Spokane County,14.0,0.0,157638.0,1666.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Stevens County,0.7,0.0,10306.0,191.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Thurston County,10.0,0.1,64998.0,559.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Wahkiakum County,0.0,0.0,648.0,15.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Walla Walla County,1.0,0.0,19409.0,176.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Whatcom County,2.0,0.1,49875.0,408.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Whitman County,0.4,0.0,10256.0,98.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
Yakima County,2.0,0.0,84541.0,872.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/washington/
