County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Barbour County,0.0,0.0,5960.0,77.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/west-virginia/
Berkeley County,0.0,0.0,45049.0,346.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/west-virginia/
Boone County,0.0,0.0,8678.0,102.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/west-virginia/
Braxton County,0.0,0.0,4979.0,52.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/west-virginia/
Brooke County,0.0,0.0,6281.0,111.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/west-virginia/
Cabell County,0.0,0.0,33871.0,442.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/west-virginia/
Calhoun County,0.0,0.0,2262.0,15.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/west-virginia/
Clay County,0.0,0.0,2711.0,54.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/west-virginia/
Doddridge County,0.0,0.0,2501.0,20.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/west-virginia/
Fayette County,0.0,0.0,16707.0,235.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/west-virginia/
Gilmer County,0.0,0.0,2537.0,23.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/west-virginia/
Grant County,0.0,0.0,4799.0,61.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/west-virginia/
Greenbrier County,0.0,0.0,12850.0,184.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/west-virginia/
Hampshire County,0.0,0.0,7299.0,75.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/west-virginia/
Hancock County,0.0,0.0,8355.0,152.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/west-virginia/
Hardy County,0.0,0.0,5710.0,52.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/west-virginia/
