County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Adams County,0.0,0.0,5940.0,70.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wisconsin/
Ashland County,0.1,0.0,4235.0,43.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wisconsin/
Barron County,0.3,0.0,16339.0,160.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wisconsin/
Bayfield County,0.3,0.0,4443.0,49.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wisconsin/
Brown County,3.0,0.0,104339.0,637.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wisconsin/
Buffalo County,0.0,0.0,4241.0,16.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wisconsin/
Burnett County,0.0,0.0,5204.0,45.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wisconsin/
Calumet County,0.1,0.0,17045.0,138.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wisconsin/
Chippewa County,0.7,0.0,22463.0,222.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wisconsin/
Clark County,0.3,0.0,9326.0,137.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wisconsin/
Columbia County,0.9,0.0,19875.0,151.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wisconsin/
Crawford County,0.1,0.0,5433.0,34.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wisconsin/
Dane County,5.0,0.0,183026.0,685.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wisconsin/
Dodge County,0.6,0.0,33428.0,388.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wisconsin/
Door County,0.7,0.0,8932.0,94.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wisconsin/
Douglas County,0.4,0.0,14732.0,95.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wisconsin/
Dunn County,0.1,0.0,15771.0,87.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wisconsin/
Eau Claire County,1.0,0.0,37119.0,218.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wisconsin/
Florence County,0.0,0.0,1369.0,17.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wisconsin/
Fond du Lac County,0.3,0.0,39769.0,330.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wisconsin/
