County,7-Day Average Cases,7-Day Average Deaths,Total Cases,Total Deaths,State URL
Albany County,0.0,0.0,11661.0,54.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wyoming/
Big Horn County,0.0,0.0,3119.0,66.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wyoming/
Campbell County,0.0,0.0,14064.0,167.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wyoming/
Carbon County,0.0,0.0,5047.0,55.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wyoming/
Converse County,0.0,0.0,3727.0,58.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wyoming/
Crook County,0.0,0.0,1589.0,34.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wyoming/
Fremont County,0.0,0.0,17100.0,208.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wyoming/
Goshen County,0.0,0.0,4632.0,67.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wyoming/
Hot Springs County,0.0,0.0,1493.0,22.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wyoming/
Johnson County,0.0,0.0,2404.0,22.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wyoming/
Laramie County,0.0,0.0,32142.0,328.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wyoming/
Lincoln County,0.0,0.0,4927.0,38.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wyoming/
Natrona County,0.0,0.0,26106.0,312.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wyoming/
Niobrara County,0.0,0.0,868.0,12.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wyoming/
Park County,0.0,0.0,7852.0,154.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wyoming/
Platte County,0.0,0.0,2313.0,46.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wyoming/
Sheridan County,0.0,0.0,10125.0,92.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wyoming/
Sublette County,0.0,0.0,2347.0,28.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wyoming/
Sweetwater County,0.0,0.0,12645.0,142.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wyoming/
Teton County,0.0,0.0,12206.0,16.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wyoming/
Uinta County,0.0,0.0,6468.0,43.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wyoming/
Washakie County,0.0,0.0,2640.0,51.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wyoming/
Weston County,0.0,0.0,1914.0,24.0,https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/wyoming/
